Date,Price_MSFT,Price_AMZN,Price_AAPL,Price_FB,MSFT_size,AMZN_size,AAPL_size,FB_size,total_value,periodic_reinvestment,reinvestment_due_to_loss,MSFT_change,AMZN_change,AAPL_change,FB_change,total_value_percentage,Drawdown
2020-01-17,163.63552856445312,1864.719970703125,78.41629791259766,222.13999938964844,7461.052369932728,7045.930663281646,7610.592065108872,7594.268177101219,29711.84,0.0,0.0,0.0,0.0,0.0,0.0,197.12,0.0
2020-01-21,163.04798889160156,1892.0,77.88489532470703,221.44000244140625,7434.263173802671,7149.009515837505,7559.017476325218,7570.337482211917,29712.63,0.0,0.0,0.0,0.0,0.0,0.0,197.13,0.0
2020-01-22,162.26454162597656,1887.4599609375,78.16290283203125,221.32000732421875,7398.541462697577,7131.854768237037,7585.999134291788,7566.235226416615,29682.63,0.0,0.0,0.0,0.0,0.0,0.0,196.83,-0.10095726601323518
2020-01-23,163.26341247558594,1884.5799560546875,78.53932189941406,219.75999450683594,7444.085531183898,7120.972536570607,7622.531998551363,7512.903292827565,29700.49,0.0,0.0,0.0,0.0,0.0,0.0,197.0,-0.04083882848584519
2020-01-24,161.6182403564453,1861.6400146484375,78.31297302246094,217.94000244140625,7369.072999088054,7034.2929068634,7600.564001939157,7450.6834861153775,29454.61,0.0,0.0,0.0,0.0,0.0,0.0,194.55,-0.8683656566037423
2020-01-27,158.9154815673828,1828.3399658203125,76.01016235351562,214.8699951171875,7245.839218225186,6908.467132048327,7377.0676998814215,7345.729587718687,28877.1,0.0,0.0,0.0,0.0,0.0,0.0,188.77,-2.8120165614330728
2020-01-28,162.029541015625,1853.25,78.16043853759766,217.7899932861328,7387.826479978476,7002.590848428043,7585.759965392444,7445.555144721226,29421.73,0.0,0.0,0.0,0.0,0.0,0.0,194.22,-0.9790288933768099
2020-01-29,164.55604553222656,1858.0,79.79651641845703,223.22999572753906,7503.023849868787,7020.538943142751,7744.54738164929,7631.531724975279,29899.64,0.0,0.0,0.0,0.0,0.0,0.0,199.0,0.0
2020-01-30,169.19776916503906,1870.6800537109375,79.68087768554688,209.52999877929688,7714.665804491908,7068.451112614644,7733.324214443843,7163.171901727401,29679.61,0.0,0.0,0.0,0.0,0.0,0.0,196.8,-0.7358913096580655
2020-01-31,166.70065307617188,2008.719970703125,76.14793395996094,201.91000366210938,7600.80841620779,7590.041324106488,7390.438944415035,6902.668225725229,29483.96,0.0,0.0,0.0,0.0,0.0,0.0,194.84,-1.390267450616589
2020-02-03,170.76461791992188,2004.199951171875,75.9388198852539,204.19000244140625,7502.456806411643,7502.456806411643,7502.456806411643,7502.456806411643,30009.83,300.0,0.0,-283.65,-70.51,132.31,521.84,200.1,0.0
